rank,name,rate,quote,staff
120,超能陆战队,8.7,Balalala~~~,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams/主演: 斯科特
121,侧耳倾听,8.9,少女情怀总是诗。,导演: 近藤喜文 Yoshifumi Kondo/主演: 本名阳子 Youko Honna / 小林桂树 K
122,哈利·波特与阿兹卡班的囚徒,8.8,不一样的导演，不一样的哈利·波特。,导演: Alfonso Cuarón/主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma
123,完美的世界,9.1,坏人的好总是比好人的好来得更感人。,导演: 克林特·伊斯特伍德 Clint Eastwood/主演: 凯文·科斯特纳 Kevin Cos
124,借东西的小人阿莉埃蒂,8.8,曾经的那段美好会沉淀为一辈子的记忆。,导演: 米林宏昌 Hiromasa Yonebayashi/主演: 志田未来 Mirai Shida / 神木
125,甜蜜蜜,8.9,相逢只要一瞬间，等待却像是一辈子。,导演: 陈可辛 Peter Chan/主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung /
126,萤火之森,8.9,触不到的恋人。,导演: 大森贵弘 Takahiro Omori/主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K
127,爱在日落黄昏时,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,导演: 理查德·林克莱特 Richard Linklater/主演: 伊桑·霍克 Ethan Hawke
128,驯龙高手,8.7,和谐的生活离不开摸头与被摸头。,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders/主演:
129,玛丽和马克思,8.9,你是我最好的朋友，你是我唯一的朋友 。,导演: 亚当·艾略特 Adam Elliot/主演: 托妮·科莱特 Toni Collette / 菲利
130,幸福终点站,8.8,有时候幸福需要等一等。 ,导演: 史蒂文·斯皮尔伯格 Steven Spielberg/主演: 汤姆·汉克斯 Tom Hanks
131,告白,8.7,没有一人完全善，也没有一人完全恶。,导演: 中岛哲也 Tetsuya Nakashima/主演: 松隆子 Takako Matsu / 冈田将生
132,天书奇谭,9.2,传奇的年代，醉人的童话。,导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian/主演: 丁建华 Jianhua Din
133,大鱼,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,导演: 蒂姆·波顿 Tim Burton/主演: 伊万·麦克格雷格 Ewan McGregor / 阿
134,射雕英雄传之东成西就,8.7,百看不厌。 ,导演: 刘镇伟 Jeffrey Lau/主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri
135,阳光姐妹淘,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,导演: 姜炯哲 Hyeong-Cheol Kang/主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy
136,哈利·波特与密室,8.7,魔法的密室之门已打开...,导演: Chris Columbus/主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛
137,怪兽电力公司,8.7,不要给它起名字，起了名字就有感情了。,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman/主演: 约
138,恐怖直播,8.7,恐怖分子的“秋菊打官司”。,导演: 金秉祐 Byeong-woo Kim/主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y
139,神偷奶爸,8.6,Mr. I Don't Care其实也有Care的时候。,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud/主演:
140,时空恋旅人,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,导演: 理查德·柯蒂斯 Richard Curtis/主演: 多姆纳尔·格里森 Domhnall Gl
141,玩具总动员3,8.9,跨度十五年的欢乐与泪水。,导演: 李·昂克里奇 Lee Unkrich/主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾
142,傲慢与偏见,8.7,爱是摈弃傲慢与偏见之后的曙光。,导演: 乔·怀特 Joe Wright/主演: 凯拉·奈特莉 Keira Knightley / 马修·
143,教父3,8.9,任何信念的力量，都无法改变命运。,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola/主演: 阿尔·帕西诺 A
144,釜山行,8.6,揭露人性的丧尸题材力作。,导演: 延尚昊 Sang-ho Yeon/主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马
145,哪吒闹海,9.1,想你时你在闹海。,导演: 严定宪 Dingxian Yan / 王树忱 Shuchen Wang/主演: 梁正晖 Zhenghui
146,血战钢锯岭,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,导演: 梅尔·吉布森 Mel Gibson/主演: 安德鲁·加菲尔德 Andrew Garfield /
147,一个叫欧维的男人决定去死,8.9,惠及一生的美丽。,导演: 汉内斯·赫尔姆 Hannes Holm/主演: 罗夫·拉斯加德 Rolf Lassgård
148,被解救的姜戈,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,导演: 昆汀·塔伦蒂诺 Quentin Tarantino/主演: 杰米·福克斯 Jamie Foxx /
149,七武士,9.3,时代悲歌。,导演: 黑泽明 Akira Kurosawa/主演: 三船敏郎 Toshirô Mifune / 志村乔
150,喜宴,8.9,中国家庭的喜怒哀乐忍。,导演: 李安 Ang Lee/主演: 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚
